排名,号码,F1_冷热度,F2_区域集中,F3_形态适应,F4_重号邻号,F5_遗漏压力,F6_尾数聚集,权重_F1,权重_F2,权重_F3,权重_F4,权重_F5,权重_F6,综合得分,是否上期开奖,目标期
51,61,4.68,3.06,3.5,1.0,1.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,16.844,,2026192
52,66,1.77,3.06,3.5,1.0,5.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,16.732,,2026192
53,56,1.53,2.64,3.5,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,16.665,,2026192
54,80,4.3,3.06,2.5,1.0,1.0,4.8,1.0,1.0,1.0,1.0,1.0,1.0,16.657,,2026192
55,62,2.78,3.06,3.5,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,16.345,,2026192
56,67,3.54,3.06,3.5,1.0,1.0,4.2,1.0,1.0,1.0,1.0,1.0,1.0,16.298,,2026192
57,68,0.57,3.06,3.5,1.0,4.5,3.6,1.0,1.0,1.0,1.0,1.0,1.0,16.23,,2026192
58,40,3.16,2.88,3.5,4.0,1.0,1.68,1.0,1.0,1.0,1.0,1.0,1.0,16.225,,2026192
59,29,0.44,2.88,4.5,4.0,1.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,16.223,,2026192
60,79,0.45,3.06,4.5,4.0,3.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,16.209,,2026192
61,58,0.82,2.64,3.5,1.0,5.0,3.2,1.0,1.0,1.0,1.0,1.0,1.0,16.163,,2026192
62,59,3.86,2.64,3.5,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,16.001,,2026192
63,19,1.15,3.42,4.5,1.0,3.0,2.91,1.0,1.0,1.0,1.0,1.0,1.0,15.98,,2026192
64,70,0.0,3.06,3.5,4.0,3.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,15.96,,2026192
65,49,2.22,2.64,3.5,1.0,3.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,15.955,,2026192
66,52,0.0,2.64,3.5,4.0,3.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,15.54,,2026192
67,34,1.46,2.88,3.5,5.0,1.0,1.68,1.0,1.0,1.0,1.0,1.0,1.0,15.516,✓,2026192
68,44,3.1,2.64,3.5,4.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,15.441,,2026192
69,36,0.0,2.88,3.5,4.0,3.0,1.92,1.0,1.0,1.0,1.0,1.0,1.0,15.3,,2026192
70,65,1.01,3.06,3.5,1.0,3.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,15.173,,2026192
71,63,1.21,3.06,3.5,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,14.769,,2026192
72,54,1.08,2.64,3.5,4.0,3.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,14.622,,2026192
73,60,0.0,2.64,3.5,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,14.14,,2026192
74,18,2.97,3.42,2.5,1.0,1.0,3.09,1.0,1.0,1.0,1.0,1.0,1.0,13.98,,2026192
75,51,0.01,2.64,3.5,4.0,1.0,2.8,1.0,1.0,1.0,1.0,1.0,1.0,13.946,,2026192
76,74,0.77,3.06,3.5,4.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,13.526,,2026192
77,20,1.65,3.42,2.5,1.0,3.0,1.89,1.0,1.0,1.0,1.0,1.0,1.0,13.458,,2026192
78,10,2.41,3.42,2.5,1.0,1.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,12.425,,2026192
79,50,0.0,2.64,3.5,1.0,3.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,11.64,,2026192
80,64,0.2,3.06,2.5,1.0,3.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,10.356,,2026192
