issue,openTime,pool_full_size,pool_size_drop0,cover_full_drop0,hit_drop0_top15,hit_drop0_top20,hit_drop0_top25,hit_drop0_top30,hit_drop0_top40,pool_size_drop10,cover_full_drop10,hit_drop10_top15,hit_drop10_top20,hit_drop10_top25,hit_drop10_top30,hit_drop10_top40,pool_size_drop20,cover_full_drop20,hit_drop20_top15,hit_drop20_top20,hit_drop20_top25,hit_drop20_top30,hit_drop20_top40,pool_size_drop30,cover_full_drop30,hit_drop30_top15,hit_drop30_top20,hit_drop30_top25,hit_drop30_top30,hit_drop30_top40,pool_size_drop40,cover_full_drop40,hit_drop40_top15,hit_drop40_top20,hit_drop40_top25,hit_drop40_top30,hit_drop40_top40,pool_size_drop50,cover_full_drop50,hit_drop50_top15,hit_drop50_top20,hit_drop50_top25,hit_drop50_top30,hit_drop50_top40
2022051,2022-03-02,64,64,13,3,4,5,7,7,54,12,3,4,5,7,7,44,9,3,4,5,7,7,34,7,3,4,5,7,7,24,6,3,5,6,6,6,14,2,2,2,2,2,2
2022052,2022-03-03,64,64,15,1,4,7,9,10,54,14,1,4,7,9,10,44,11,1,4,7,9,10,34,9,1,4,7,9,9,24,7,1,4,7,7,7,14,3,3,3,3,3,3
2022053,2022-03-04,67,67,18,6,7,8,8,10,57,14,6,7,8,8,10,47,11,6,7,8,8,10,37,10,6,7,8,8,10,27,9,6,7,8,9,9,17,6,6,6,6,6,6
2022054,2022-03-05,67,67,16,5,6,6,6,13,57,15,5,6,6,6,13,47,14,5,6,6,6,13,37,10,5,6,6,6,10,27,8,5,6,6,8,8,17,3,3,3,3,3,3
2022055,2022-03-06,67,67,17,3,5,7,8,10,57,15,3,5,7,8,10,47,11,3,5,7,8,10,37,10,3,5,7,8,10,27,6,3,5,6,6,6,17,5,4,5,5,5,5
2022056,2022-03-07,69,69,18,2,3,5,6,8,59,16,2,3,5,6,8,49,13,2,3,5,6,8,39,10,2,3,5,6,10,29,5,2,3,5,5,5,19,3,2,3,3,3,3
2022057,2022-03-08,70,70,18,3,4,5,8,9,60,15,3,4,5,8,9,50,11,3,4,5,8,9,40,9,3,4,5,8,9,30,6,3,4,5,6,6,20,5,3,5,5,5,5
2022058,2022-03-09,71,71,18,3,3,4,6,6,61,13,3,3,4,6,6,51,9,3,3,4,6,6,41,6,3,3,4,6,6,31,4,3,3,4,4,4,21,3,2,3,3,3,3
2022059,2022-03-10,69,69,16,4,5,6,7,10,59,13,4,5,6,7,10,49,13,4,5,6,7,11,39,10,4,5,6,7,10,29,7,4,5,6,7,7,19,5,4,5,5,5,5
2022060,2022-03-11,67,67,16,2,2,5,7,11,57,13,2,2,5,7,11,47,13,2,2,5,7,11,37,9,2,2,5,7,9,27,4,2,2,4,4,4,17,2,1,2,2,2,2
2022061,2022-03-12,69,69,16,5,7,7,9,9,59,14,5,7,7,9,9,49,12,5,7,7,9,9,39,10,5,7,7,9,10,29,7,5,7,7,7,7,19,5,5,5,5,5,5
2022062,2022-03-13,67,67,16,3,3,4,6,10,57,14,3,3,4,6,10,47,12,3,3,4,6,10,37,9,3,3,4,6,9,27,6,3,3,5,6,6,17,3,3,3,3,3,3
2022063,2022-03-14,68,68,17,9,9,10,12,14,58,16,9,9,10,12,14,48,14,9,9,10,12,14,38,13,9,9,10,12,13,28,11,9,9,11,11,11,18,9,8,9,9,9,9
2022064,2022-03-15,63,63,16,2,3,5,5,7,53,12,2,3,5,5,7,43,8,2,3,5,5,7,33,5,2,3,5,5,5,23,5,2,4,5,5,5,13,2,2,2,2,2,2
2022065,2022-03-16,68,68,18,1,3,6,8,12,58,17,1,3,6,8,12,48,13,1,3,6,8,12,38,10,1,3,6,8,10,28,5,1,3,4,5,5,18,2,1,2,2,2,2
2022066,2022-03-17,69,69,17,3,3,3,3,7,59,13,3,3,3,3,7,49,11,3,3,3,3,7,39,6,3,3,3,3,6,29,3,3,3,3,3,3,19,3,3,3,3,3,3
2022067,2022-03-18,73,73,18,4,6,7,9,10,63,16,4,6,7,9,10,53,13,4,6,7,9,10,43,12,4,6,7,10,11,33,11,4,6,7,10,11,23,6,4,4,6,6,6
2022068,2022-03-19,65,65,14,2,4,5,5,9,55,12,2,4,5,5,9,45,9,2,4,5,5,9,35,6,2,4,5,5,6,25,5,2,4,5,5,5,15,5,5,5,5,5,5
2022069,2022-03-20,67,67,17,4,5,6,7,10,57,13,4,5,6,7,10,47,12,4,5,6,7,10,37,9,4,5,6,7,9,27,6,4,5,6,6,6,17,5,5,5,5,5,5
2022070,2022-03-21,66,66,19,5,6,8,10,13,56,16,5,6,8,10,13,46,14,5,6,8,10,13,36,13,5,6,8,10,13,26,9,5,6,8,9,9,16,4,4,4,4,4,4
2022071,2022-03-22,67,67,15,6,6,9,11,11,57,13,6,6,9,11,11,47,13,6,6,9,11,11,37,11,6,6,9,11,11,27,8,6,6,8,8,8,17,8,7,8,8,8,8
2022072,2022-03-23,64,64,13,4,5,6,6,7,54,10,4,5,6,6,7,44,8,4,5,6,6,7,34,6,4,5,6,6,6,24,6,4,6,6,6,6,14,4,4,4,4,4,4
2022073,2022-03-24,64,64,17,5,7,9,9,13,54,17,5,7,9,9,13,44,14,5,7,9,9,13,34,10,5,7,9,9,10,24,8,5,7,8,8,8,14,5,5,5,5,5,5
2022074,2022-03-25,67,67,18,2,6,6,7,10,57,16,2,6,6,7,10,47,13,2,6,6,7,10,37,9,2,6,6,7,9,27,7,2,6,7,7,7,17,6,5,6,6,6,6
2022075,2022-03-26,67,67,16,5,6,6,7,10,57,13,5,6,6,7,10,47,11,5,6,6,7,10,37,9,5,6,6,7,9,27,7,5,6,6,7,7,17,4,4,4,4,4,4
2022076,2022-03-27,67,67,16,4,6,6,9,11,57,14,4,6,6,9,11,47,12,4,6,6,9,11,37,10,4,6,6,9,10,27,9,4,6,8,9,9,17,3,2,3,3,3,3
2022077,2022-03-28,67,67,16,3,5,8,9,9,57,15,3,5,8,9,9,47,11,3,5,8,9,9,37,9,3,5,8,9,9,27,6,3,5,6,6,6,17,6,5,6,6,6,6
2022078,2022-03-29,66,66,15,5,5,7,8,9,56,14,5,5,7,8,9,46,12,5,5,7,8,9,36,9,5,5,7,8,9,26,5,5,5,5,5,5,16,3,3,3,3,3,3
2022079,2022-03-30,68,68,15,5,5,6,8,10,58,14,5,5,6,8,10,48,14,5,5,6,8,10,38,9,5,5,6,8,9,28,7,5,5,7,7,7,18,5,5,5,5,5,5
2022080,2022-03-31,67,67,17,5,5,5,7,10,57,14,5,5,5,7,10,47,12,5,5,5,7,10,37,9,5,5,5,7,9,27,7,5,5,7,7,7,17,5,5,5,5,5,5
2022081,2022-04-01,66,66,19,5,5,8,8,12,56,15,5,5,8,8,12,46,13,5,5,8,8,12,36,10,5,5,8,8,10,26,7,5,5,7,7,7,16,5,5,5,5,5,5
2022082,2022-04-02,68,68,17,3,3,4,7,9,58,14,3,3,4,7,9,48,12,3,3,4,7,9,38,10,3,3,4,7,10,28,6,3,3,4,6,6,18,2,2,2,2,2,2
2022083,2022-04-03,71,71,17,3,5,5,6,10,61,12,3,5,5,6,10,51,12,3,5,5,6,10,41,10,3,5,5,6,10,31,7,3,5,5,6,7,21,3,3,3,3,3,3
2022084,2022-04-04,68,68,18,3,3,5,5,9,58,13,3,3,5,5,9,48,11,3,3,5,5,9,38,6,3,3,5,5,6,28,6,3,3,5,6,6,18,4,3,4,4,4,4
2022085,2022-04-05,69,69,14,2,2,4,5,8,59,10,2,2,4,5,8,49,9,2,2,4,5,8,39,8,2,2,4,5,8,29,7,2,2,4,7,7,19,5,2,5,5,5,5
2022086,2022-04-06,67,67,16,4,6,8,9,11,57,13,4,6,8,9,11,47,13,4,6,8,9,11,37,13,4,6,8,9,13,27,8,4,6,7,8,8,17,3,2,3,3,3,3
2022087,2022-04-07,66,66,17,2,3,5,6,9,56,14,2,3,5,6,9,46,11,2,3,5,6,9,36,7,2,3,5,6,7,26,4,2,3,4,4,4,16,2,2,2,2,2,2
2022088,2022-04-08,69,69,18,3,5,5,6,10,59,15,3,5,5,6,10,49,13,3,5,5,6,10,39,9,3,5,5,6,9,29,6,3,5,5,6,6,19,4,3,4,4,4,4
2022089,2022-04-09,71,71,17,4,6,7,8,9,61,14,4,6,7,8,9,51,13,4,6,7,8,9,41,9,4,6,7,8,9,31,9,4,6,7,9,9,21,7,5,6,7,7,7
2022090,2022-04-10,66,66,12,3,3,4,4,7,56,9,3,3,4,4,7,46,7,3,3,4,4,7,36,4,3,3,4,4,4,26,4,3,3,4,4,4,16,1,1,1,1,1,1
2022091,2022-04-11,66,66,15,4,4,6,7,9,56,11,4,4,6,7,9,46,10,4,4,6,7,10,36,8,4,4,6,7,8,26,6,4,5,6,6,6,16,4,4,4,4,4,4
2022092,2022-04-12,67,67,16,4,5,5,7,8,57,14,4,5,5,7,8,47,10,4,5,5,7,8,37,8,4,5,5,7,8,27,7,4,5,6,7,7,17,4,4,4,4,4,4
2022093,2022-04-13,67,67,19,2,5,6,7,11,57,15,2,5,6,7,11,47,12,2,5,6,7,11,37,9,2,5,6,7,9,27,7,2,5,6,7,7,17,4,3,4,4,4,4
2022094,2022-04-14,68,68,16,2,3,6,7,8,58,13,2,3,6,7,8,48,11,2,3,6,7,8,38,8,2,3,6,7,8,28,6,2,3,6,6,6,18,2,2,2,2,2,2
2022095,2022-04-15,70,70,19,4,5,6,7,11,60,17,4,5,6,7,11,50,15,4,5,6,7,11,40,10,4,5,6,7,10,30,6,4,5,6,6,6,20,4,4,4,4,4,4
2022096,2022-04-16,71,71,19,2,2,3,3,7,61,16,2,2,3,3,7,51,12,2,2,3,3,7,41,8,2,2,3,3,7,31,5,2,2,3,4,5,21,3,2,3,3,3,3
2022097,2022-04-17,73,73,19,3,5,6,7,9,63,16,3,5,6,7,9,53,15,3,5,6,7,9,43,11,3,5,6,7,9,33,8,3,5,6,7,8,23,6,3,5,6,6,6
2022098,2022-04-18,70,70,19,6,7,8,9,13,60,19,6,7,8,9,13,50,15,6,7,8,9,13,40,13,6,7,8,9,13,30,11,6,7,8,11,11,20,7,6,7,7,7,7
2022099,2022-04-19,67,67,19,6,8,10,10,12,57,17,6,8,10,10,12,47,15,6,8,10,10,12,37,10,6,8,10,10,10,27,9,6,8,9,9,9,17,8,7,8,8,8,8
2022100,2022-04-20,64,64,15,6,6,8,9,13,54,14,6,6,8,9,13,44,12,6,6,8,9,12,34,10,6,6,8,9,10,24,7,6,6,7,7,7,14,3,3,3,3,3,3
2022101,2022-04-21,64,64,16,3,4,6,7,8,54,13,3,4,6,7,8,44,10,3,4,6,7,8,34,8,3,4,6,7,8,24,5,3,4,5,5,5,14,3,3,3,3,3,3
2022102,2022-04-22,69,69,15,5,6,7,7,9,59,10,5,6,7,7,9,49,9,5,6,7,7,9,39,9,5,6,7,7,9,29,9,5,6,7,9,9,19,7,6,7,7,7,7
2022103,2022-04-23,64,64,14,3,5,5,7,9,54,12,3,5,5,7,9,44,9,3,5,5,7,9,34,6,3,5,5,6,6,24,5,3,4,5,5,5,14,3,3,3,3,3,3
2022104,2022-04-24,65,65,16,7,8,8,10,11,55,13,7,8,8,10,11,45,11,7,8,8,10,11,35,9,7,8,8,9,9,25,8,7,8,8,8,8,15,6,6,6,6,6,6
2022105,2022-04-25,64,64,18,5,5,6,8,11,54,15,5,5,6,8,11,44,13,5,5,6,8,11,34,9,5,5,6,8,9,24,6,5,5,6,6,6,14,4,4,4,4,4,4
2022106,2022-04-26,65,65,19,4,7,8,9,12,55,17,4,7,8,9,12,45,14,4,7,8,9,12,35,12,4,7,8,9,12,25,8,4,7,8,8,8,15,5,5,5,5,5,5
2022107,2022-04-27,68,68,17,5,6,7,9,11,58,14,5,6,7,9,11,48,12,5,6,7,9,11,38,11,5,6,7,9,11,28,7,5,6,7,7,7,18,6,5,6,6,6,6
2022108,2022-04-28,68,68,18,4,7,8,9,13,58,14,4,7,8,9,13,48,14,4,7,8,9,13,38,10,4,7,8,9,10,28,8,4,7,7,8,8,18,6,6,6,6,6,6
2022109,2022-04-29,66,66,17,3,6,7,7,10,56,14,3,6,7,7,10,46,11,3,6,7,7,10,36,9,3,6,7,7,9,26,7,3,6,6,7,7,16,5,5,5,5,5,5
2022110,2022-04-30,67,67,16,3,5,6,8,9,57,14,3,5,6,8,9,47,10,3,5,6,8,9,37,9,3,5,6,8,9,27,6,3,5,6,6,6,17,3,3,3,3,3,3
2022111,2022-05-01,68,68,18,3,4,5,7,10,58,15,3,4,5,7,10,48,12,3,4,5,7,10,38,9,3,4,5,7,9,28,6,3,4,6,6,6,18,5,5,5,5,5,5
2022112,2022-05-02,69,69,19,5,7,9,9,12,59,17,5,7,9,9,12,49,14,5,7,9,9,12,39,13,5,7,9,9,13,29,11,5,7,9,11,11,19,8,6,8,8,8,8
2022113,2022-05-03,66,66,16,3,3,5,7,11,56,13,3,3,5,7,11,46,11,3,3,5,7,11,36,8,3,3,5,7,8,26,5,3,3,4,5,5,16,2,2,2,2,2,2
2022114,2022-05-04,68,68,15,2,3,3,4,6,58,11,2,3,3,4,6,48,7,2,3,3,4,6,38,7,2,3,3,4,7,28,5,2,3,4,5,5,18,1,1,1,1,1,1
2022115,2022-05-05,69,69,18,5,6,7,8,12,59,16,5,6,7,8,12,49,12,5,6,7,8,12,39,10,5,6,7,8,10,29,8,5,6,7,8,8,19,4,3,4,4,4,4
2022116,2022-05-06,69,69,18,4,7,9,10,14,59,17,4,7,9,10,14,49,16,4,7,9,10,14,39,13,4,7,9,10,13,29,12,4,7,10,12,12,19,8,6,8,8,8,8
2022117,2022-05-07,64,64,17,4,5,9,10,12,54,15,4,5,9,10,12,44,13,4,5,9,10,12,34,11,4,5,9,10,11,24,6,4,5,6,6,6,14,5,5,5,5,5,5
2022118,2022-05-08,69,69,17,5,6,9,9,11,59,17,5,6,9,9,11,49,14,5,6,9,9,11,39,11,5,6,9,9,11,29,8,5,6,8,8,8,19,6,4,6,6,6,6
2022119,2022-05-09,66,66,18,5,5,7,8,11,56,16,5,5,7,8,11,46,14,5,5,7,8,11,36,9,5,5,7,8,9,26,5,5,5,5,5,5,16,4,4,4,4,4,4
2022120,2022-05-10,68,68,18,1,3,5,6,7,58,14,1,3,5,6,7,48,10,1,3,5,6,7,38,8,1,3,5,6,8,28,5,1,3,4,5,5,18,4,3,4,4,4,4
2022121,2022-05-11,70,70,19,4,6,8,12,14,60,17,4,6,8,12,14,50,15,4,6,8,12,14,40,14,4,6,8,12,14,30,11,4,6,8,11,11,20,7,5,7,7,7,7
2022122,2022-05-12,67,67,17,4,7,7,8,13,57,15,4,7,7,8,13,47,15,4,7,7,8,13,37,11,4,7,7,8,11,27,8,4,7,8,8,8,17,6,6,6,6,6,6
2022123,2022-05-13,65,65,17,4,7,8,8,11,55,15,4,7,8,8,11,45,11,4,7,8,8,11,35,10,4,7,8,8,10,25,7,4,7,7,7,7,15,6,6,6,6,6,6
2022124,2022-05-14,66,66,19,4,7,8,8,12,56,18,4,7,8,8,12,46,13,4,7,8,8,12,36,9,4,7,8,8,9,26,7,4,7,7,7,7,16,7,7,7,7,7,7
2022125,2022-05-15,67,67,19,4,4,6,7,11,57,16,4,4,6,7,11,47,13,4,4,6,7,11,37,10,4,4,6,7,10,27,7,4,4,6,7,7,17,4,3,4,4,4,4
2022126,2022-05-16,70,70,18,3,4,5,6,11,60,18,3,4,5,6,11,50,16,3,4,5,6,11,40,11,3,4,5,6,11,30,7,3,4,5,7,7,20,3,2,3,3,3,3
2022127,2022-05-17,71,71,16,3,4,5,5,6,61,15,3,4,5,5,6,51,10,3,4,5,5,6,41,7,3,4,5,5,6,31,5,3,4,5,5,5,21,4,3,4,4,4,4
2022128,2022-05-18,70,70,18,6,6,7,8,10,60,14,6,6,7,8,10,50,12,6,6,7,8,10,40,9,6,6,7,8,9,30,6,6,6,6,6,6,20,4,4,4,4,4,4
2022129,2022-05-19,67,67,16,6,8,9,12,13,57,15,6,8,9,12,13,47,13,6,8,9,12,13,37,13,6,8,9,12,13,27,11,6,8,10,11,11,17,6,4,6,6,6,6
2022130,2022-05-20,62,62,19,6,8,9,11,15,52,16,6,8,9,11,15,42,15,6,8,9,11,15,32,12,6,8,9,11,12,22,8,6,8,8,8,8,12,4,4,4,4,4,4
2022131,2022-05-21,67,67,19,6,7,7,8,11,57,17,6,7,7,8,11,47,15,6,7,7,8,11,37,11,6,7,7,8,11,27,8,6,7,7,8,8,17,5,5,5,5,5,5
2022132,2022-05-22,70,70,17,5,5,5,5,8,60,13,5,5,5,5,8,50,11,5,5,5,5,8,40,8,5,5,5,5,8,30,7,5,5,5,7,7,20,5,5,5,5,5,5
2022133,2022-05-23,69,69,18,4,5,6,9,11,59,15,4,5,6,9,11,49,13,4,5,6,9,11,39,10,4,5,6,9,10,29,9,4,5,8,9,9,19,6,5,6,6,6,6
2022134,2022-05-24,65,65,16,2,3,4,5,8,55,13,2,3,4,5,8,45,10,2,3,4,5,8,35,7,2,3,4,5,7,25,4,2,3,4,4,4,15,3,3,3,3,3,3
2022135,2022-05-25,69,69,18,5,6,7,7,9,59,14,5,6,7,7,9,49,10,5,6,7,7,9,39,8,5,6,7,7,8,29,7,5,6,7,7,7,19,5,4,5,5,5,5
2022136,2022-05-26,67,67,16,4,4,6,9,11,57,14,4,4,6,9,11,47,14,4,4,6,9,11,37,12,4,4,6,9,12,27,7,4,4,7,7,7,17,4,2,4,4,4,4
2022137,2022-05-27,66,66,16,3,3,5,7,9,56,15,3,3,5,7,9,46,13,3,3,5,7,10,36,8,3,3,5,7,8,26,6,3,3,5,6,6,16,3,2,3,3,3,3
2022138,2022-05-28,70,70,17,4,5,6,9,12,60,16,4,5,6,9,12,50,14,4,5,6,9,12,40,11,4,5,6,9,11,30,6,4,5,6,6,6,20,5,4,5,5,5,5
2022139,2022-05-29,67,67,15,3,6,7,7,8,57,13,3,6,7,7,8,47,11,3,6,7,7,8,37,8,3,6,7,7,8,27,7,3,6,7,7,7,17,5,5,5,5,5,5
2022140,2022-05-30,65,65,17,3,5,6,7,10,55,13,3,5,6,7,10,45,11,3,5,6,7,10,35,8,3,5,6,6,8,25,5,3,5,5,5,5,15,4,4,4,4,4,4
2022141,2022-05-31,67,67,18,4,5,7,10,10,57,13,4,5,7,10,10,47,11,4,5,7,10,10,37,10,4,5,7,10,10,27,7,4,5,7,7,7,17,5,4,5,5,5,5
2022142,2022-06-01,68,68,18,3,5,7,7,10,58,16,3,5,7,7,10,48,13,3,5,7,7,10,38,10,3,5,7,7,10,28,8,3,5,7,8,8,18,4,3,4,4,4,4
2022143,2022-06-02,67,67,16,3,4,6,6,10,57,13,3,4,6,6,10,47,10,3,4,6,6,10,37,8,3,4,6,6,8,27,7,3,4,6,7,7,17,5,5,5,5,5,5
2022144,2022-06-03,69,69,16,2,3,5,7,10,59,14,2,3,5,7,10,49,12,2,3,5,7,10,39,11,2,3,5,7,11,29,6,2,3,4,6,6,19,2,2,2,2,2,2
2022145,2022-06-04,70,70,18,4,4,5,7,10,60,15,4,4,5,7,10,50,11,4,4,5,7,10,40,9,4,4,5,7,9,30,7,4,4,5,7,7,20,5,4,5,5,5,5
2022146,2022-06-05,68,68,16,5,7,7,10,11,58,16,5,7,7,10,11,48,13,5,7,7,10,11,38,11,5,7,7,10,11,28,8,5,7,7,8,8,18,4,4,4,4,4,4
2022147,2022-06-06,66,66,16,1,2,2,4,7,56,12,1,2,2,4,7,46,9,1,2,2,4,7,36,6,1,2,2,4,6,26,4,1,2,4,4,4,16,2,2,2,2,2,2
2022148,2022-06-07,69,69,18,6,6,7,7,9,59,17,6,6,7,7,9,49,14,6,6,7,7,9,39,9,6,6,7,7,9,29,8,6,6,7,8,8,19,7,6,7,7,7,7
2022149,2022-06-08,67,67,14,5,5,7,8,9,57,11,5,5,7,8,9,47,10,5,5,7,8,9,37,9,5,5,7,8,9,27,6,5,5,6,6,6,17,3,3,3,3,3,3
2022150,2022-06-09,64,64,17,3,4,5,6,9,54,13,3,4,5,6,9,44,10,3,4,5,6,9,34,7,3,4,5,6,7,24,5,3,5,5,5,5,14,2,2,2,2,2,2
2022151,2022-06-10,67,67,19,6,8,9,10,12,57,17,6,8,9,10,12,47,15,6,8,9,10,12,37,11,6,8,9,10,11,27,9,6,8,9,9,9,17,6,6,6,6,6,6
2022152,2022-06-11,69,69,17,3,4,6,10,11,59,15,3,4,6,10,11,49,13,3,4,6,10,11,39,11,3,4,6,10,11,29,6,3,4,5,6,6,19,5,4,5,5,5,5
2022153,2022-06-12,68,68,14,1,3,3,5,10,58,12,1,3,3,5,10,48,11,1,3,3,5,10,38,8,1,3,3,5,8,28,6,1,3,4,6,6,18,3,2,3,3,3,3
2022154,2022-06-13,69,69,16,3,4,4,5,8,59,12,3,4,4,5,8,49,11,3,4,4,5,8,39,7,3,4,4,5,7,29,6,3,4,4,6,6,19,3,2,3,3,3,3
2022155,2022-06-14,69,69,17,4,5,5,7,10,59,14,4,5,5,7,10,49,12,4,5,5,7,10,39,10,4,5,5,7,10,29,7,4,5,5,7,7,19,4,4,4,4,4,4
2022156,2022-06-15,68,68,18,5,5,7,8,11,58,14,5,5,7,8,11,48,12,5,5,7,8,11,38,11,5,5,7,8,11,28,8,5,5,7,8,8,18,5,5,5,5,5,5
2022157,2022-06-16,67,67,17,4,8,10,10,13,57,14,4,8,10,10,13,47,14,4,8,10,10,13,37,12,4,8,10,10,12,27,9,4,8,8,9,9,17,7,5,7,7,7,7
2022158,2022-06-17,63,63,17,3,5,7,7,10,53,14,3,5,7,7,10,43,11,3,5,7,7,10,33,8,3,5,7,7,8,23,5,3,4,5,5,5,13,3,3,3,3,3,3
2022159,2022-06-18,70,70,17,5,5,7,8,9,60,15,5,5,7,8,9,50,12,5,5,7,8,9,40,9,5,5,7,8,9,30,7,5,5,7,7,7,20,6,4,6,6,6,6
2022160,2022-06-19,67,67,18,2,3,3,6,8,57,13,2,3,3,6,8,47,9,2,3,3,6,8,37,7,2,3,3,6,7,27,6,2,3,6,6,6,17,1,0,1,1,1,1
2022161,2022-06-20,69,69,16,4,6,7,8,11,59,13,4,6,7,8,11,49,12,4,6,7,8,11,39,10,4,6,7,8,10,29,8,4,6,7,8,8,19,5,4,5,5,5,5
2022162,2022-06-21,68,68,18,3,6,6,7,10,58,15,3,6,6,7,10,48,12,3,6,6,7,10,38,11,3,6,6,7,11,28,9,3,6,8,9,9,18,5,4,5,5,5,5
2022163,2022-06-22,67,67,15,4,5,6,9,12,57,12,4,5,6,9,12,47,12,4,5,6,9,12,37,9,4,5,6,9,9,27,5,4,5,5,5,5,17,2,2,2,2,2,2
2022164,2022-06-23,67,67,17,2,3,5,5,10,57,14,2,3,5,5,10,47,12,2,3,5,5,10,37,8,2,3,5,5,8,27,5,2,3,5,5,5,17,3,3,3,3,3,3
2022165,2022-06-24,70,70,18,4,5,7,9,11,60,17,4,5,7,9,11,50,15,4,5,7,9,11,40,11,4,5,7,9,11,30,9,4,5,7,9,9,20,7,3,7,7,7,7
2022166,2022-06-25,66,66,16,4,5,7,9,11,56,14,4,5,7,9,11,46,12,4,5,7,9,11,36,9,4,5,7,9,9,26,6,4,5,6,6,6,16,2,2,2,2,2,2
2022167,2022-06-26,68,68,18,2,4,5,6,12,58,17,2,4,5,6,12,48,13,2,4,5,6,12,38,10,2,4,5,6,10,28,7,2,4,5,7,7,18,4,4,4,4,4,4
2022168,2022-06-27,70,70,19,7,8,10,10,13,60,18,7,8,10,10,13,50,16,7,8,10,10,13,40,13,7,8,10,10,13,30,11,7,8,10,11,11,20,7,6,7,7,7,7
2022169,2022-06-28,66,66,15,2,5,6,7,9,56,12,2,5,6,7,9,46,10,2,5,6,7,9,36,8,2,5,6,7,8,26,6,2,5,6,6,6,16,5,4,5,5,5,5
2022170,2022-06-29,66,66,13,4,5,7,8,8,56,11,4,5,7,8,8,46,11,4,5,7,8,8,36,8,4,5,7,8,8,26,7,4,5,7,7,7,16,3,3,3,3,3,3
2022171,2022-06-30,65,65,19,6,6,7,8,13,55,18,6,6,7,8,13,45,14,6,6,7,8,13,35,10,6,6,7,8,10,25,7,6,7,7,7,7,15,5,5,5,5,5,5
2022172,2022-07-01,68,68,17,5,6,8,11,12,58,14,5,6,8,11,12,48,12,5,6,8,11,12,38,12,5,6,8,11,12,28,9,5,6,8,9,9,18,6,4,6,6,6,6
2022173,2022-07-02,66,66,14,1,2,4,7,11,56,14,1,2,4,7,11,46,13,1,2,4,7,11,36,10,1,2,4,7,10,26,5,1,2,4,5,5,16,2,2,2,2,2,2
2022174,2022-07-03,68,68,18,4,5,6,6,8,58,14,4,5,6,6,8,48,12,4,5,6,6,8,38,8,4,5,6,6,8,28,6,4,5,5,6,6,18,5,5,5,5,5,5
2022175,2022-07-04,70,70,18,3,5,6,6,9,60,15,3,5,6,6,9,50,13,3,5,6,6,9,40,10,3,5,6,6,10,30,7,3,5,5,7,7,20,5,4,5,5,5,5
2022176,2022-07-05,68,68,19,6,8,9,9,12,58,15,6,8,9,9,12,48,13,6,8,9,9,12,38,12,6,8,9,9,12,28,10,6,8,10,10,10,18,7,6,7,7,7,7
2022177,2022-07-06,66,66,17,6,8,8,9,12,56,14,6,8,8,9,12,46,13,6,8,8,9,12,36,10,6,8,8,9,10,26,9,6,8,9,9,9,16,7,7,7,7,7,7
2022178,2022-07-07,63,63,16,1,2,3,4,7,53,13,1,2,3,4,7,43,7,1,2,3,4,7,33,5,1,2,3,5,5,23,2,1,2,2,2,2,13,1,1,1,1,1,1
2022179,2022-07-08,70,70,19,5,7,8,10,14,60,18,5,7,8,10,14,50,16,5,7,8,10,14,40,15,5,7,8,10,15,30,10,5,7,8,10,10,20,6,5,6,6,6,6
2022180,2022-07-09,67,67,19,5,6,7,9,12,57,17,5,6,7,9,12,47,14,5,6,7,9,12,37,11,5,6,7,9,11,27,9,5,6,7,9,9,17,4,4,4,4,4,4
2022181,2022-07-10,68,68,16,4,6,8,8,9,58,14,4,6,8,8,9,48,12,4,6,8,8,9,38,10,4,6,8,8,10,28,7,4,6,7,7,7,18,4,4,4,4,4,4
2022182,2022-07-11,65,65,17,6,6,8,9,10,55,15,6,6,8,9,10,45,10,6,6,8,9,10,35,9,6,6,8,9,9,25,8,6,7,8,8,8,15,4,4,4,4,4,4
2022183,2022-07-12,66,66,17,2,3,4,5,7,56,12,2,3,4,5,7,46,9,2,3,4,5,7,36,7,2,3,4,5,7,26,4,2,3,4,4,4,16,2,2,2,2,2,2
2022184,2022-07-13,69,69,17,6,6,7,8,10,59,15,6,6,7,8,10,49,11,6,6,7,8,10,39,10,6,6,7,8,10,29,8,6,6,7,8,8,19,6,5,6,6,6,6
2022185,2022-07-14,67,67,18,4,6,6,8,9,57,14,4,6,6,8,9,47,10,4,6,6,8,9,37,9,4,6,6,8,9,27,7,4,6,7,7,7,17,5,5,5,5,5,5
2022186,2022-07-15,66,66,17,5,6,8,10,12,56,16,5,6,8,10,12,46,12,5,6,8,10,12,36,11,5,6,8,10,11,26,8,5,6,7,8,8,16,5,5,5,5,5,5
2022187,2022-07-16,66,66,16,2,4,5,6,10,56,14,2,4,5,6,10,46,11,2,4,5,6,10,36,8,2,4,5,6,8,26,6,2,4,6,6,6,16,4,4,4,4,4,4
2022188,2022-07-17,66,66,12,3,3,3,3,5,56,10,3,3,3,3,5,46,7,3,3,3,3,5,36,5,3,3,3,3,5,26,4,3,3,4,4,4,16,2,2,2,2,2,2
2022189,2022-07-18,67,67,16,4,4,6,6,9,57,13,4,4,6,6,9,47,11,4,4,6,6,9,37,9,4,4,6,6,9,27,5,4,4,4,5,5,17,2,2,2,2,2,2
