issue,openTime,pool_full_size,pool_size_drop0,cover_full_drop0,hit_drop0_top15,hit_drop0_top20,hit_drop0_top25,hit_drop0_top30,hit_drop0_top40,pool_size_drop10,cover_full_drop10,hit_drop10_top15,hit_drop10_top20,hit_drop10_top25,hit_drop10_top30,hit_drop10_top40,pool_size_drop20,cover_full_drop20,hit_drop20_top15,hit_drop20_top20,hit_drop20_top25,hit_drop20_top30,hit_drop20_top40,pool_size_drop30,cover_full_drop30,hit_drop30_top15,hit_drop30_top20,hit_drop30_top25,hit_drop30_top30,hit_drop30_top40,pool_size_drop40,cover_full_drop40,hit_drop40_top15,hit_drop40_top20,hit_drop40_top25,hit_drop40_top30,hit_drop40_top40,pool_size_drop50,cover_full_drop50,hit_drop50_top15,hit_drop50_top20,hit_drop50_top25,hit_drop50_top30,hit_drop50_top40
2020032,2020-11-28,67,67,17,3,4,7,9,12,57,15,3,4,7,9,12,47,13,3,4,7,9,12,37,11,3,4,7,9,11,27,8,3,4,7,8,8,17,5,4,5,5,5,5
2020033,2020-11-29,68,68,18,4,6,8,8,9,58,15,4,6,8,8,9,48,12,4,6,8,8,9,38,10,4,6,8,8,10,28,8,4,6,8,8,8,18,5,3,5,5,5,5
2020034,2020-11-30,67,67,16,3,4,6,7,10,57,14,3,4,6,7,10,47,12,3,4,6,7,10,37,9,3,4,6,7,9,27,5,3,4,5,5,5,17,4,4,4,4,4,4
2020035,2020-12-01,69,69,19,7,7,9,9,12,59,18,7,7,9,9,12,49,14,7,7,9,9,12,39,12,7,7,9,9,12,29,12,7,7,9,12,12,19,8,6,8,8,8,8
2020036,2020-12-02,66,66,17,4,6,7,7,10,56,14,4,6,7,7,10,46,12,4,6,7,7,10,36,9,4,6,7,7,9,26,6,4,6,6,6,6,16,6,6,6,6,6,6
2020037,2020-12-03,65,65,15,3,4,5,6,10,55,13,3,4,5,6,10,45,11,3,4,5,6,10,35,7,3,4,5,6,7,25,5,3,4,5,5,5,15,4,4,4,4,4,4
2020038,2020-12-04,67,67,16,6,7,8,10,12,57,15,6,7,8,10,12,47,15,6,7,8,10,12,37,12,6,7,8,10,12,27,9,6,7,9,9,9,17,6,5,6,6,6,6
2020039,2020-12-05,65,65,17,3,6,7,8,11,55,14,3,6,7,8,11,45,13,3,6,7,8,11,35,10,3,6,7,9,10,25,5,3,5,5,5,5,15,4,4,4,4,4,4
2020040,2020-12-06,67,67,16,4,4,6,7,11,57,15,4,4,6,7,11,47,13,4,4,6,7,11,37,10,4,4,6,7,10,27,7,4,4,6,7,7,17,4,4,4,4,4,4
2020041,2020-12-07,69,69,18,4,6,7,8,10,59,14,4,6,7,8,10,49,13,4,6,7,8,10,39,10,4,6,7,8,10,29,8,4,6,7,8,8,19,7,6,7,7,7,7
2020042,2020-12-08,67,67,16,5,6,8,11,12,57,15,5,6,8,11,12,47,13,5,6,8,11,12,37,13,5,6,8,11,13,27,10,5,6,10,10,10,17,6,5,6,6,6,6
2020043,2020-12-09,64,64,18,6,7,8,10,11,54,17,6,7,8,10,11,44,13,6,7,8,10,11,34,11,6,7,8,10,11,24,9,6,8,9,9,9,14,5,5,5,5,5,5
2020044,2020-12-10,65,65,17,7,7,8,10,14,55,15,7,7,8,10,14,45,14,7,7,8,10,14,35,13,7,7,8,10,13,25,9,7,7,9,9,9,15,5,5,5,5,5,5
2020045,2020-12-11,65,65,16,4,4,5,6,9,55,13,4,4,5,6,9,45,11,4,4,5,6,9,35,7,4,4,5,6,7,25,5,4,4,5,5,5,15,1,1,1,1,1,1
2020046,2020-12-12,68,68,17,2,3,5,7,8,58,13,2,3,5,7,8,48,10,2,3,5,7,8,38,8,2,3,5,7,8,28,5,2,3,4,5,5,18,3,2,3,3,3,3
2020047,2020-12-13,70,70,19,7,8,8,9,13,60,16,7,8,8,9,13,50,13,7,8,8,9,13,40,13,7,8,8,9,13,30,11,7,8,8,11,11,20,8,7,8,8,8,8
2020048,2020-12-14,67,67,16,6,7,7,7,10,57,14,6,7,7,7,10,47,12,6,7,7,7,10,37,8,6,7,7,7,8,27,8,6,7,7,8,8,17,5,4,5,5,5,5
2020049,2020-12-15,63,63,15,4,4,5,6,11,53,12,4,4,5,6,11,43,10,4,4,5,6,10,33,9,4,4,5,7,9,23,5,4,4,5,5,5,13,4,4,4,4,4,4
2020050,2020-12-16,66,66,16,3,4,7,7,10,56,13,3,4,7,7,10,46,12,3,4,7,7,10,36,9,3,4,7,7,9,26,6,3,4,6,6,6,16,5,4,5,5,5,5
2020051,2020-12-17,69,69,17,8,8,10,11,12,59,15,8,8,10,11,12,49,13,8,8,10,11,12,39,12,8,8,10,11,12,29,11,8,8,10,11,11,19,9,8,9,9,9,9
2020052,2020-12-18,63,63,19,6,8,11,12,12,53,14,6,8,11,12,12,43,12,6,8,11,12,12,33,11,6,8,10,11,11,23,9,6,7,9,9,9,13,4,4,4,4,4,4
2020053,2020-12-19,65,65,17,3,4,5,8,9,55,14,3,4,5,8,9,45,9,3,4,5,8,9,35,8,3,4,5,8,8,25,6,3,4,6,6,6,15,3,3,3,3,3,3
2020054,2020-12-20,71,71,15,4,5,5,6,10,61,13,4,5,5,6,10,51,13,4,5,5,6,10,41,10,4,5,5,6,10,31,6,4,5,5,6,6,21,3,3,3,3,3,3
2020055,2020-12-21,67,67,16,3,4,4,5,7,57,12,3,4,4,5,7,47,9,3,4,4,5,7,37,8,3,4,4,5,8,27,7,3,4,5,7,7,17,2,1,2,2,2,2
2020056,2020-12-22,68,68,17,6,7,7,8,8,58,14,6,7,7,8,8,48,11,6,7,7,8,8,38,9,6,7,7,8,9,28,7,6,7,7,7,7,18,4,4,4,4,4,4
2020057,2020-12-23,66,66,16,4,4,5,9,11,56,13,4,4,5,9,11,46,11,4,4,5,9,11,36,10,4,4,5,9,10,26,8,4,5,8,8,8,16,2,2,2,2,2,2
2020058,2020-12-24,67,67,15,3,5,6,7,11,57,14,3,5,6,7,11,47,11,3,5,6,7,11,37,10,3,5,6,7,10,27,8,3,5,7,8,8,17,3,2,3,3,3,3
2020059,2020-12-25,67,67,15,3,5,6,7,8,57,13,3,5,6,7,8,47,11,3,5,6,7,8,37,8,3,5,6,7,8,27,7,3,5,6,7,7,17,4,4,4,4,4,4
2020060,2020-12-26,65,65,17,5,6,6,7,8,55,12,5,6,6,7,8,45,9,5,6,6,7,8,35,7,5,6,6,7,7,25,7,5,6,7,7,7,15,5,5,5,5,5,5
2020061,2020-12-27,67,67,17,4,4,5,7,12,57,16,4,4,5,7,12,47,14,4,4,5,7,12,37,10,4,4,5,7,10,27,6,4,4,5,6,6,17,4,4,4,4,4,4
2020062,2020-12-28,68,68,18,4,5,5,6,11,58,15,4,5,5,6,11,48,12,4,5,5,6,11,38,9,4,5,5,6,9,28,6,4,5,5,6,6,18,4,4,4,4,4,4
2020063,2020-12-29,70,70,19,7,7,9,12,12,60,17,7,7,9,12,12,50,14,7,7,9,12,12,40,12,7,7,9,12,12,30,9,7,7,9,9,9,20,8,6,8,8,8,8
2020064,2020-12-30,66,66,17,4,6,7,8,13,56,15,4,6,7,8,13,46,14,4,6,7,8,13,36,11,4,6,7,8,11,26,8,4,6,7,8,8,16,3,3,3,3,3,3
2020065,2020-12-31,68,68,16,2,2,3,5,8,58,12,2,2,3,5,8,48,9,2,2,3,5,8,38,9,2,2,3,5,9,28,4,2,2,3,4,4,18,3,2,3,3,3,3
2021001,2021-01-01,71,71,17,5,8,8,8,10,61,15,5,8,8,8,10,51,12,5,8,8,8,10,41,10,5,8,8,8,10,31,10,5,8,8,10,10,21,7,7,7,7,7,7
2021002,2021-01-02,64,64,16,4,5,6,7,10,54,14,4,5,6,7,10,44,11,4,5,6,7,10,34,9,4,5,6,9,9,24,6,4,5,6,6,6,14,5,5,5,5,5,5
2021003,2021-01-03,65,65,19,8,9,12,12,13,55,17,8,9,12,12,13,45,15,8,9,12,12,14,35,12,8,9,12,12,12,25,10,8,9,10,10,10,15,8,8,8,8,8,8
